Year,Length,CPI Annual Rate %,CPI Index
1971 SEP,8,,
1971 OCT,8,,
1971 NOV,8,,
1971 DEC,8,,
1972 JAN,8,,
1972 FEB,8,,
1972 MAR,8,,
1972 APR,8,,
1972 MAY,8,,
1972 JUN,8,,
1972 JUL,8,,
1972 AUG,8,,
1972 SEP,8,,
1972 OCT,8,,
1972 NOV,8,,
1972 DEC,8,,
1973 JAN,8,,
1973 FEB,8,,
1973 MAR,8,,
1973 APR,8,,
1973 MAY,8,,
1973 JUN,8,,
1973 JUL,8,,
1973 AUG,8,,
1973 SEP,8,,
1973 OCT,8,,
1973 NOV,8,,
1973 DEC,8,,
1974 JAN,8,,
1974 FEB,8,,
1974 MAR,8,,
1974 APR,8,,
1974 MAY,8,,
1974 JUN,8,,
1974 JUL,8,,
1974 AUG,8,,
1974 SEP,8,,
1974 OCT,8,,
1974 NOV,8,,
1974 DEC,8,,
1975 JAN,8,,
1975 FEB,8,,
1975 MAR,8,,
1975 APR,8,,
1975 MAY,8,,
1975 JUN,8,,
1975 JUL,8,,
1975 AUG,8,,
1975 SEP,8,,
1975 OCT,8,,
1975 NOV,8,,
1975 DEC,8,,
1976 JAN,8,,
1976 FEB,8,,
1976 MAR,8,,
1976 APR,8,,
1976 MAY,8,,
1976 JUN,8,,
1976 JUL,8,,
1976 AUG,8,,
1976 SEP,8,,
1976 OCT,8,,
1976 NOV,8,,
1976 DEC,8,,
1977 JAN,8,,
1977 FEB,8,,
1977 MAR,8,,
1977 APR,8,,
1977 MAY,8,,
1977 JUN,8,,
1977 JUL,8,,
1977 AUG,8,,
1977 SEP,8,,
1977 OCT,8,,
1977 NOV,8,,
1977 DEC,8,,
1978 JAN,8,,
1978 FEB,8,,
1978 MAR,8,,
1978 APR,8,,
1978 MAY,8,,
1978 JUN,8,,
1978 JUL,8,,
1978 AUG,8,,
1978 SEP,8,,
1978 OCT,8,,
1978 NOV,8,,
1978 DEC,8,,
1979 JAN,8,,
1979 FEB,8,,
1979 MAR,8,,
1979 APR,8,,
1979 MAY,8,,
1979 JUN,8,,
1979 JUL,8,,
1979 AUG,8,,
1979 SEP,8,,
1979 OCT,8,,
1979 NOV,8,,
1979 DEC,8,,
1980 JAN,8,,
1980 FEB,8,,
1980 MAR,8,,
1980 APR,8,,
1980 MAY,8,,
1980 JUN,8,,
1980 JUL,8,,
1980 AUG,8,,
1980 SEP,8,,
1980 OCT,8,,
1980 NOV,8,,
1980 DEC,8,,
1981 JAN,8,,
1981 FEB,8,,
1981 MAR,8,,
1981 APR,8,,
1981 MAY,8,,
1981 JUN,8,,
1981 JUL,8,,
1981 AUG,8,,
1981 SEP,8,,
1981 OCT,8,,
1981 NOV,8,,
1981 DEC,8,,
1982 JAN,8,,
1982 FEB,8,,
1982 MAR,8,,
1982 APR,8,,
1982 MAY,8,,
1982 JUN,8,,
1982 JUL,8,,
1982 AUG,8,,
1982 SEP,8,,
1982 OCT,8,,
1982 NOV,8,,
1982 DEC,8,,
1983 JAN,8,,
1983 FEB,8,,
1983 MAR,8,,
1983 APR,8,,
1983 MAY,8,,
1983 JUN,8,,
1983 JUL,8,,
1983 AUG,8,,
1983 SEP,8,,
1983 OCT,8,,
1983 NOV,8,,
1983 DEC,8,,
1984 JAN,8,,
1984 FEB,8,,
1984 MAR,8,,
1984 APR,8,,
1984 MAY,8,,
1984 JUN,8,,
1984 JUL,8,,
1984 AUG,8,,
1984 SEP,8,,
1984 OCT,8,,
1984 NOV,8,,
1984 DEC,8,,
1985 JAN,8,,
1985 FEB,8,,
1985 MAR,8,,
1985 APR,8,,
1985 MAY,8,,
1985 JUN,8,,
1985 JUL,8,,
1985 AUG,8,,
1985 SEP,8,,
1985 OCT,8,,
1985 NOV,8,,
1985 DEC,8,,
1986 JAN,8,,
1986 FEB,8,,
1986 MAR,8,,
1986 APR,8,,
1986 MAY,8,,
1986 JUN,8,,
1986 JUL,8,,
1986 AUG,8,,
1986 SEP,8,,
1986 OCT,8,,
1986 NOV,8,,
1986 DEC,8,,
1987 JAN,8,,
1987 FEB,8,,
1987 MAR,8,,
1987 APR,8,,
1987 MAY,8,,
1987 JUN,8,,
1987 JUL,8,,
1987 AUG,8,,
1987 SEP,8,,
1987 OCT,8,,
1987 NOV,8,,
1987 DEC,8,,
1988 JAN,8,,48.4
1988 FEB,8,,48.6
1988 MAR,8,,48.7
1988 APR,8,,49.3
1988 MAY,8,,49.5
1988 JUN,8,,49.7
1988 JUL,8,,49.7
1988 AUG,8,,49.9
1988 SEP,8,,50.1
1988 OCT,8,,50.3
1988 NOV,8,,50.5
1988 DEC,8,,50.6
1989 JAN,8,4.9,50.8
1989 FEB,8,5,51
1989 MAR,8,5,51.2
1989 APR,8,5.3,51.9
1989 MAY,8,5.3,52.2
1989 JUN,8,5.2,52.3
1989 JUL,8,5.2,52.3
1989 AUG,8,5,52.4
1989 SEP,8,5.2,52.7
1989 OCT,8,5.5,53.1
1989 NOV,8,5.5,53.3
1989 DEC,8,5.5,53.4
1990 JAN,8,5.7,53.6
1990 FEB,8,5.9,54
1990 MAR,8,6,54.2
1990 APR,8,6.4,55.2
1990 MAY,8,6.8,55.7
1990 JUN,8,6.9,55.9
1990 JUL,8,6.8,55.8
1990 AUG,8,7.7,56.4
1990 SEP,8,8.1,57
